City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
69,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
72,Katsuura,JP,79.3,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
74,Saint-Philippe,RE,67.21,clear sky,-21.3585,55.7679,Le four à pain
76,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
79,Chartres,FR,76.15,overcast clouds,48.4167,1.5,Hotel & Spa Le Grand Monarque Chartres
80,Camrose,CA,78.33,clear sky,53.0168,-112.8353,R & R Inn & Suites
83,Carnarvon,AU,69.53,light rain,-24.8667,113.6333,Hospitality Carnarvon
85,Valle Del Guamuez,CO,79.02,overcast clouds,0.4525,-76.9192,Hotel Casa Blanca Orito
89,Erzin,TR,78.84,clear sky,36.9559,36.2,Artemis Otel
93,Quelimane,MZ,69.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
95,Tshane,BW,66.2,scattered clouds,-24.0196,21.8684,
101,Barkly West,ZA,63.68,overcast clouds,-28.5354,24.5215,Stafford Parker Guest House
102,Kletskaya,RU,79.03,overcast clouds,49.3145,43.0584,
103,Dongtai,CN,74.93,overcast clouds,32.8523,120.3095,Super 8 Dongtai South Hailing Road
105,Pekalongan,ID,77.83,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
107,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
110,Celendin,PE,72.12,few clouds,-6.8703,-78.1517,Villa Madrid
111,Lasa,IT,64.17,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
112,Antalaha,MG,67.28,few clouds,-14.9003,50.2788,Hotel Vitasoa
114,Peyima,SL,70.21,light rain,8.7,-11.0333,
115,Nabire,ID,75.24,light rain,-3.3667,135.4833,Hotel Nusantara I
120,East London,ZA,65.34,clear sky,-33.0153,27.9116,Tu Casa
121,Camacha,PT,71.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
123,Torbay,CA,63.37,broken clouds,47.6666,-52.7314,Gallows Cove
124,Naze,JP,79.72,few clouds,28.3667,129.4833,Shishime Hotel
126,Gorontalo,ID,73.51,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
129,Mitsamiouli,KM,73.69,light rain,-11.3847,43.2844,Foyer ADM
131,Kalmunai,LK,79.72,heavy intensity rain,7.4167,81.8167,VS Villa
133,Kruisfontein,ZA,60.21,clear sky,-34.0033,24.7314,Oyster Bay House Rental
134,Richards Bay,ZA,67.48,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
137,Fairbanks,US,60.22,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
139,Neryungri,RU,61.95,moderate rain,56.6709,124.6491,Pyat' Zvozd
142,Tongchuan,CN,70.95,scattered clouds,35.0806,109.0897,Tongchuan Hotel
145,Visby,SE,61.05,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
146,Kawalu,ID,71.74,overcast clouds,-7.3817,108.2082,West Jontor
149,Northam,GB,67.24,few clouds,51.0333,-4.2167,Durrant House Hotel
154,Angoche,MZ,69.64,scattered clouds,-16.2325,39.9086,Guest House HESADA
157,Zhangye,CN,73.76,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
160,Warrington,GB,66.87,few clouds,53.3925,-2.5802,Villaggio Hotel
162,San Juan,AR,61.03,clear sky,-31.5375,-68.5364,Hotel Provincial
163,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
164,Maralal,KE,62.33,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
167,Faanui,PF,79.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Nagato,JP,78.51,clear sky,34.3833,131.2,いそう庵
171,Makushino,RU,60.04,scattered clouds,55.2103,67.2442,Cristina Hotel
174,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
178,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
179,Norwich,GB,65.25,few clouds,52.6278,1.2983,Holiday Inn Norwich City
180,Tabou,CI,74.86,overcast clouds,4.423,-7.3528,hotêl doufoulougou
181,Panguna,PG,67.53,light rain,-6.3164,155.4848,
186,Baykit,RU,60.87,overcast clouds,61.67,96.37,
187,Albanel,CA,78.94,overcast clouds,48.8832,-72.4487,Camping municipal d'Albanel
188,Sioux Lookout,CA,62.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
189,Egra,CZ,71.37,broken clouds,50.0796,12.3739,Hotel Barbarossa
190,Kolondieba,ML,78.12,broken clouds,11.0882,-6.8926,Hotel Dakan
