,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Brigantine,US,39.4101,-74.3646,93.2,74,100,13.76,overcast clouds
183,Olafsvik,IS,64.8945,-23.7142,46.51,87,100,16.17,overcast clouds
184,Genhe,CN,50.7833,121.5167,56.16,97,6,0.72,clear sky
185,Bushehr,IR,28.9684,50.8385,87.89,62,100,11.5,overcast clouds
186,Baykit,RU,61.67,96.37,60.87,97,99,4.29,overcast clouds
187,Albanel,CA,48.8832,-72.4487,78.94,53,100,11.5,overcast clouds
188,Sioux Lookout,CA,50.1001,-91.917,62.67,72,75,9.22,broken clouds
189,Egra,CZ,50.0796,12.3739,71.37,53,57,5.53,broken clouds
190,Kolondieba,ML,11.0882,-6.8926,78.12,77,83,4.99,broken clouds
191,Oum Hadjer,TD,13.2954,19.6966,80.8,66,31,9.28,scattered clouds
192,Ahvaz,IR,31.3203,48.6693,93.15,66,42,11.5,scattered clouds
193,Flin Flon,CA,54.7682,-101.865,75.04,33,20,3.44,few clouds
194,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,43,0,42.57,clear sky
195,Halifax,CA,44.6453,-63.5724,82.29,57,20,14.97,few clouds
196,La Ronge,CA,55.1001,-105.2842,73.65,38,20,8.05,few clouds
197,Avera,US,33.194,-82.5271,92.55,52,100,6.76,overcast clouds
198,Ojinaga,MX,29.5667,-104.4167,99.57,38,0,10.36,clear sky
199,Sawakin,SD,19.1059,37.3321,93.88,54,68,5.55,broken clouds
200,Lexington,US,37.9887,-84.4777,84.92,74,100,1.99,overcast clouds
201,General Roca,AR,-39.0333,-67.5833,61.18,29,0,18.28,clear sky
202,Aitape,PG,-3.1374,142.3475,76.93,89,37,5.55,scattered clouds
203,Camocim,BR,-2.9022,-40.8411,83.73,64,42,15.28,scattered clouds
204,Inuvik,CA,68.3499,-133.7218,50.76,87,75,6.91,broken clouds
205,Fortuna,US,40.5982,-124.1573,70.93,78,100,6.91,overcast clouds
206,Kosh-Agach,RU,50.0,88.6667,52.11,45,6,2.53,clear sky
207,Tomakomai,JP,42.6369,141.6033,71.56,94,75,0.0,broken clouds
208,Bandarbeyla,SO,9.4942,50.8122,76.77,81,19,27.2,few clouds
209,Maxixe,MZ,-23.8597,35.3472,66.02,63,20,0.0,few clouds
210,Macusani,PE,-14.0833,-70.4333,52.84,20,9,6.11,clear sky
211,Adrar,MR,20.5022,-10.0711,106.47,7,0,6.71,clear sky
212,Ribeira Grande,PT,38.5167,-28.7,75.6,73,75,5.75,broken clouds
213,Prince Rupert,CA,54.3161,-130.3201,65.89,86,0,5.75,clear sky
214,Maceio,BR,-9.6658,-35.7353,78.24,83,75,12.66,broken clouds
215,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,20,10.36,few clouds
216,Palhoca,BR,-27.802,-48.6591,80.65,79,0,12.66,clear sky
217,Caravelas,BR,-17.7125,-39.2481,75.61,64,0,7.7,clear sky
218,Esperance,AU,-33.8667,121.9,57.36,77,0,12.21,clear sky
219,Bud,US,39.447,-86.1758,88.41,54,16,5.75,few clouds
220,Banjarmasin,ID,-3.3244,114.591,73.54,96,73,2.26,broken clouds
221,Bonfim,BR,3.0833,-59.95,89.55,67,98,2.51,overcast clouds
222,Shimoda,JP,34.6667,138.95,76.1,89,100,5.26,overcast clouds
223,Lafia,NG,8.4833,8.5167,73.71,92,100,4.68,light rain
224,Okitipupa,NG,6.5047,4.7839,72.91,96,100,3.58,overcast clouds
225,Namibe,AO,-15.1961,12.1522,62.2,84,11,7.54,few clouds
226,Mount Isa,AU,-20.7333,139.5,42.57,56,0,5.75,clear sky
227,Paka,MY,4.6374,103.4368,75.13,94,28,0.0,scattered clouds
228,Geraldton,AU,-28.7667,114.6,57.61,88,40,12.66,scattered clouds
229,Stokmarknes,NO,68.5646,14.9108,53.56,71,75,3.44,broken clouds
230,Gradignan,FR,44.7726,-0.6139,75.45,56,0,11.5,clear sky
231,Iracoubo,GF,5.4802,-53.2011,82.67,73,86,9.19,overcast clouds
232,Moranbah,AU,-22.0016,148.0466,47.48,75,0,7.65,clear sky
233,Muisne,EC,0.6,-80.0333,75.47,82,97,9.08,overcast clouds
234,Marawi,PH,7.9986,124.2928,69.15,92,100,4.18,overcast clouds
235,Bengkulu,ID,-3.8004,102.2655,75.52,90,75,4.81,light rain
236,Cabo San Lucas,MX,22.8909,-109.9124,93.61,63,21,7.85,few clouds
237,Ucluelet,CA,48.9329,-125.5528,62.91,78,44,7.45,scattered clouds
238,Hofn,IS,64.2539,-15.2082,51.82,87,100,2.3,light intensity drizzle
239,Lagos,NG,6.5833,3.75,74.32,88,100,8.01,overcast clouds
240,Gushikawa,JP,26.3544,127.8686,81.63,94,7,7.31,clear sky
241,Yar-Sale,RU,66.8333,70.8333,62.82,63,92,5.44,overcast clouds
242,Raudeberg,NO,61.9875,5.1352,59.67,77,16,16.46,few clouds
243,Jadu,LY,31.953,12.0261,85.28,25,0,8.93,clear sky
244,Lukovetskiy,RU,64.2956,41.9211,61.45,96,69,2.04,broken clouds
245,Qaqortoq,GL,60.7167,-46.0333,47.52,69,90,5.79,overcast clouds
246,Antigonish,CA,45.6169,-61.9986,81.14,66,3,3.0,clear sky
